VideoID: d21d4f3d-cf60-4a6b-9eb8-5ebed545cdb2
Thread ID, Timestamp, API Endpoint (Subscription ID), Success?
4,2017-11-05 13:04:59:843,3a40a65192204751b51095bdfa18accc,1
5,2017-11-05 13:04:59:843,3a40a65192204751b51095bdfa18accc,1
4,2017-11-05 13:05:02:167,3a40a65192204751b51095bdfa18accc,0
5,2017-11-05 13:05:02:671,3a40a65192204751b51095bdfa18accc,1
0,2017-11-05 13:04:59:842,3a40a65192204751b51095bdfa18accc,0
3,2017-11-05 13:04:59:842,3a40a65192204751b51095bdfa18accc,1
1,2017-11-05 13:04:59:842,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:05:00:976,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:05:02:370,3a40a65192204751b51095bdfa18accc,0
4,2017-11-05 13:05:03:587,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:04:59:842,3a40a65192204751b51095bdfa18accc,0
2,2017-11-05 13:05:00:976,3a40a65192204751b51095bdfa18accc,0
0,2017-11-05 13:05:00:981,3a40a65192204751b51095bdfa18accc,0
1,2017-11-05 13:05:03:765,3a40a65192204751b51095bdfa18accc,1
2,2017-11-05 13:05:02:372,3a40a65192204751b51095bdfa18accc,0
